Model,Accuracy,Precision_macro,Recall_macro,F1_macro,High_Risk_Recall,Std
RandomForestClassifier_balanced,0.8065171726943582,0.7192744502276291,0.7565024793057926,0.7348548558833029,0.8130414409999002,0.0035272112786196423
RandomForestClassifier,0.8226031033993448,0.7316210170974385,0.7180187295586997,0.7225172227385879,0.794325392349222,0.004821966552899207
ExtraTreesClassifier_balanced,0.8100824067917607,0.7106036735867854,0.7021904522381972,0.704538975192188,0.7757447032247022,0.004206234134718282
ExtraTreesClassifier,0.8089065223190538,0.7092912243050731,0.7015290452155208,0.7038292816872653,0.7719335126237119,0.0035154970421920535
GradientBoostingClassifier,0.80085413679723,0.6887173170477812,0.6553020812709608,0.6563449749328533,0.7698234883057846,0.0050295302383500835
LogisticRegression,0.726125083477346,0.5593360163222504,0.5059749504376687,0.5091806004511368,0.45810905243467637,0.002803226670777032
