Model,Accuracy,Precision,Recall,F1,Std
RandomForestClassifier,0.8226031033993448,0.7316210170974385,0.7180187295586997,0.7225172227385879,0.004821966552899207
ExtraTreesClassifier,0.8089065223190538,0.7092912243050731,0.7015290452155208,0.7038292816872653,0.0035154970421920535
GradientBoostingClassifier,0.80085413679723,0.6887173170477812,0.6553020812709608,0.6563449749328533,0.0050295302383500835
LogisticRegression,0.726125083477346,0.5593360163222504,0.5059749504376687,0.5091806004511368,0.002803226670777032
